Name,Identifier,Weight,Sector,Shares Held
Rockwell Collins Inc.,COL,0.091956,Industrials,1810748
Monster Beverage Corporation,MNST,0.091454,Consumer Staples,4433714
DTE Energy Company,DTE,0.090922,Utilities,2011830
Paychex Inc.,PAYX,0.090401,Information Technology,3544874
Cerner Corporation,CERN,0.089832,Health Care,3669522
Ventas Inc.,VTR,0.088298,Real Estate,3950457
Hilton Worldwide Holdings Inc,HLT,0.088266,Consumer Discretionary,3326390
Eversource Energy,ES,0.08787,Utilities,3513292
Xilinx Inc.,XLNX,0.087734,Information Technology,2812891
CenturyLink Inc.,CTL,0.087687,Communication Services,10594398
Northern Trust Corporation,NTRS,0.087658,Financials,2490535
Agilent Technologies Inc.,A,0.08704,Health Care,3539005
NetApp Inc.,NTAP,0.086541,Information Technology,2889642
Rockwell Automation Inc.,ROK,0.08617,Industrials,1392869
Aptiv PLC,APTV,0.086032,Consumer Discretionary,2954431
Synchrony Financial,SYF,0.086002,Financials,7594041
Dollar Tree Inc.,DLTR,0.08596,Consumer Discretionary,2635842
AutoZone Inc.,AZO,0.085896,Consumer Discretionary,295493
Motorola Solutions Inc.,MSI,0.085866,Information Technology,1797315
United Continental Holdings Inc.,UAL,0.085821,Industrials,2552285
Clorox Company,CLX,0.085125,Consumer Staples,1429531
Parker-Hannifin Corporation,PH,0.084959,Industrials,1474307
PACCAR Inc,PCAR,0.084611,Industrials,3900649
IQVIA Holdings Inc,IQV,0.084505,Health Care,1793908
Cummins Inc.,CMI,0.084436,Industrials,1674444
Harris Corporation,HRS,0.083166,Industrials,1314767
Verisk Analytics Inc,VRSK,0.082938,Industrials,1837390
CBS Corporation Class B,CBS,0.081887,Communication Services,3812336
FirstEnergy Corp.,FE,0.080704,Utilities,5422239
Willis Towers Watson Public Limited Company,WLTW,0.08011,Financials,1476614
Royal Caribbean Cruises Ltd.,RCL,0.080084,Consumer Discretionary,1888736
Nucor Corporation,NUE,0.079967,Materials,3526868
Tyson Foods Inc. Class A,TSN,0.079948,Consumer Staples,3299668
IHS Markit Ltd.,INFO,0.079893,Industrials,3996550
IDEXX Laboratories Inc.,IDXX,0.079865,Health Care,964568
Ameriprise Financial Inc.,AMP,0.079509,Financials,1603982
Global Payments Inc.,GPN,0.079328,Information Technology,1769279
International Paper Company,IP,0.078936,Materials,4592026
KeyCorp,KEY,0.078845,Financials,11710373
Boston Properties Inc.,BXP,0.078625,Real Estate,1711315
SBA Communications Corp. Class A,SBAC,0.078326,Real Estate,1277105
Kellogg Company,K,0.078215,Consumer Staples,2822292
Regions Financial Corporation,RF,0.078215,Financials,12398075
Stanley Black & Decker Inc.,SWK,0.077207,Industrials,1711167
Realty Income Corporation,O,0.076536,Real Estate,3234356
FleetCor Technologies Inc.,FLT,0.076154,Information Technology,994179
Fifth Third Bancorp,FITB,0.075473,Financials,7426788
Citizens Financial Group Inc.,CFG,0.074796,Financials,5305350
Conagra Brands Inc.,CAG,0.074771,Consumer Staples,5233555
Align Technology Inc.,ALGN,0.074307,Health Care,815115
Best Buy Co. Inc.,BBY,0.073909,Consumer Discretionary,2720111
McCormick & Company Incorporated,MKC,0.073379,Consumer Staples,1337446
Devon Energy Corporation,DVN,0.073176,Energy,5670757
Essex Property Trust Inc.,ESS,0.073176,Real Estate,732216
Advanced Micro Devices Inc.,AMD,0.072423,Information Technology,9567562
Freeport-McMoRan Inc.,FCX,0.071435,Materials,16164658
Omnicom Group Inc,OMC,0.071181,Communication Services,2520576
Hartford Financial Services Group Inc.,HIG,0.071026,Financials,3970378
Western Digital Corporation,WDC,0.070422,Information Technology,3319247
TransDigm Group Incorporated,TDG,0.070311,Industrials,545888
L3 Technologies Inc,LLL,0.069865,Industrials,870215
Marathon Oil Corporation,MRO,0.069814,Energy,9458454
Laboratory Corporation of America Holdings,LH,0.069798,Health Care,1134354
American Water Works Company Inc.,AWK,0.069705,Utilities,1973182
Ameren Corporation,AEE,0.069701,Utilities,2701134
Mylan N.V.,MYL,0.069228,Health Care,5683163
Total System Services Inc.,TSS,0.068845,Information Technology,1871226
Cardinal Health Inc.,CAH,0.068825,Health Care,3459892
Newmont Mining Corporation,NEM,0.068771,Materials,5914578
Ulta Beauty Inc,ULTA,0.068271,Consumer Discretionary,638396
Evergy Inc.,EVRG,0.067042,Utilities,3007359
AMETEK Inc.,AME,0.066992,Industrials,2567228
Entergy Corporation,ETR,0.065753,Utilities,2004643
ABIOMED Inc.,ABMD,0.06547,Health Care,500323
Ball Corporation,BLL,0.065412,Materials,3843940
Cintas Corporation,CTAS,0.065384,Industrials,958304
Republic Services Inc.,RSG,0.065245,Industrials,2429683
Skyworks Solutions Inc.,SWKS,0.065238,Information Technology,2028775
Hess Corporation,HES,0.065007,Energy,2805362
Huntington Bancshares Incorporated,HBAN,0.064939,Financials,12164546
WellCare Health Plans Inc.,WCG,0.064875,Health Care,545345
Genuine Parts Company,GPC,0.064096,Consumer Discretionary,1621950
Microchip Technology Incorporated,MCHP,0.06398,Information Technology,2605559
VeriSign Inc.,VRSN,0.063897,Information Technology,1197454
Apache Corporation,APA,0.063488,Energy,4236442
Waters Corporation,WAT,0.063236,Health Care,876606
Church & Dwight Co. Inc.,CHD,0.063166,Consumer Staples,2712586
Expedia Group Inc.,EXPE,0.062536,Consumer Discretionary,1354069
Hershey Company,HSY,0.062291,Consumer Staples,1541958
CMS Energy Corporation,CMS,0.06189,Utilities,3104520
Fastenal Company,FAST,0.061771,Industrials,3189012
National Oilwell Varco Inc.,NOV,0.061567,Energy,4234826
AmerisourceBergen Corporation,ABC,0.061366,Health Care,1822444
ResMed Inc.,RMD,0.061092,Health Care,1578912
SVB Financial Group,SIVB,0.060892,Financials,587348
Comerica Incorporated,CMA,0.060441,Financials,1930309
Host Hotels & Resorts Inc.,HST,0.060405,Real Estate,8218742
Mettler-Toledo International Inc.,MTD,0.060249,Health Care,285935
Take-Two Interactive Software Inc.,TTWO,0.060131,Communication Services,1268236
International Flavors & Fragrances Inc.,IFF,0.060109,Materials,1095107
KLA-Tencor Corporation,KLAC,0.060077,Information Technology,1717812
Broadridge Financial Solutions Inc.,BR,0.05946,Information Technology,1297948
CA Inc.,CA,0.059297,Information Technology,3438573
MSCI Inc. Class A,MSCI,0.059106,Financials,1007549
American Airlines Group Inc.,AAL,0.058762,Industrials,4621280
Textron Inc.,TXT,0.058324,Industrials,2768522
Arthur J. Gallagher & Co.,AJG,0.057916,Financials,2020516
Synopsys Inc.,SNPS,0.057831,Information Technology,1642349
Alexandria Real Estate Equities Inc.,ARE,0.057756,Real Estate,1179452
CenterPoint Energy Inc.,CNP,0.057425,Utilities,5268037
Principal Financial Group Inc.,PFG,0.057345,Financials,2953323
Cadence Design Systems Inc.,CDNS,0.057303,Information Technology,3135098
Citrix Systems Inc.,CTXS,0.05723,Information Technology,1427633
Gartner Inc.,IT,0.057116,Information Technology,1007348
Darden Restaurants Inc.,DRI,0.057102,Consumer Discretionary,1365825
MGM Resorts International,MGM,0.056627,Consumer Discretionary,5697881
Lincoln National Corporation,LNC,0.056442,Financials,2410393
Noble Energy Inc.,NBL,0.055847,Energy,5342691
Loews Corporation,L,0.055743,Financials,3101750
Henry Schein Inc.,HSIC,0.05557,Health Care,1738963
HCP Inc.,HCP,0.055299,Real Estate,5208092
CarMax Inc.,KMX,0.054807,Consumer Discretionary,1974839
E*TRADE Financial Corporation,ETFC,0.054697,Financials,2939443
CBRE Group Inc. Class A,CBRE,0.054464,Real Estate,3524362
Quest Diagnostics Incorporated,DGX,0.054362,Health Care,1506022
Kohl's Corporation,KSS,0.054192,Consumer Discretionary,1866031
W.W. Grainger Inc.,GWW,0.053941,Industrials,506275
ANSYS Inc.,ANSS,0.053786,Information Technology,932531
Cooper Companies Inc.,COO,0.053488,Health Care,543466
D.R. Horton Inc.,DHI,0.053273,Consumer Discretionary,3807337
C.H. Robinson Worldwide Inc.,CHRW,0.053119,Industrials,1547025
Dover Corporation,DOV,0.05284,Industrials,1646059
J.M. Smucker Company,SJM,0.052707,Consumer Staples,1259519
Advance Auto Parts Inc.,AAP,0.052592,Consumer Discretionary,820521
Xylem Inc.,XYL,0.052383,Industrials,1994788
Vulcan Materials Company,VMC,0.052337,Materials,1465556
Arista Networks Inc.,ANET,0.052249,Information Technology,576580
Cboe Global Markets Inc,CBOE,0.052082,Financials,1242589
Tapestry Inc.,TPR,0.052038,Consumer Discretionary,3190591
Equifax Inc.,EFX,0.051499,Industrials,1333540
Symantec Corporation,SYMC,0.051406,Information Technology,6891210
Lennar Corporation Class A,LEN,0.051377,Consumer Discretionary,3254278
Vornado Realty Trust,VNO,0.051305,Real Estate,1918711
Expeditors International of Washington Inc.,EXPD,0.051264,Industrials,1970732
Tiffany & Co.,TIF,0.051226,Consumer Discretionary,1215462
TechnipFMC Plc,FTI,0.051099,Energy,4814318
Baker Hughes a GE Company Class A,BHGE,0.050566,Energy,4672443
Fortinet Inc.,FTNT,0.05037,Information Technology,1581105
